,Bill Number,Title,Summary,Session,Sponsors
523,HB17-1056,Criminal Sentencing Community Service Veterans Organizations,"Currently, only an organization that is exempt from taxation under section 501 (c)(3) of the federal internal revenue code (tax code) may accept services offered through a program of community or useful public service operated by a county court, probation department, county sheriff, or other local governmental entity in connection with sentencing for specified misdemeanors. Veterans' service organizations may be organized under other provisions of the tax code such as section 501 (c)(4) or 501 (c)(19).The bill expands the criteria for organizations that may accept community or useful public service assignments to include veterans' service organizations organized under 501 (c)(4) or 501 (c)(19) of the tax code, and specifies that the court or other entity making the assignment retains discretion to determine which organizations may be included in its program of community or useful public service.Section 1amends the statute dealing with misdemeanor sentencing generally.Sections 2 and 3insert analogous provisions into the statutes dealing specifically with sentencing of persons convicted of drug offenses and alcohol-related driving offenses, respectively.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeMike WeissmanSenatorJohn KefalasSenatorBob Gardner
524,HB17-1057,Interstate Physical Therapy Licensure Compact,"The bill enacts the 'Interstate Physical Therapy Licensure Compact Act' that allows physical therapists and physical therapist assistants licensed or certified in a compact member state to obtain a license or certificate to practice physical therapy in Colorado. The bill authorizes the physical therapy board to obtain fingerprints from applicants for a license or certification for the purposes of a fingerprint-based criminal history record check. The compact requires that the physical therapy board participate in the compact's data system and notify the compact commission of any adverse action taken by the board.Physical therapists and physical therapy assistants are subject to the requirements of the 'Michael Skolnik Medical Transparency Act of 2010'.$12,386 is appropriated to the department of regulatory agencies for use by the division of professions and occupations for implementation of the bill.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeFaith WinterRepresentativeLarry ListonSenatorAndy KerrSenatorBob Gardner
525,HB17-1058,Reporting Requirements By Department Of Personnel And Administration To General Assembly,"Statutory Revision Committee.Pursuant to section 24-1-136 (11)(a)(I), Colorado Revised Statutes, any report that is required to be made to the general assembly by an executive agency or the judicial branch on a periodic basis expires on the day after the third anniversary of the date on which the first report was due unless the general assembly, acting by bill, continues the requirement. The bill addresses reportingrequirements of the department of personnel and administration.Sections 1, 2, 6, 8, and 10repeal reports that are scheduled to repeal according to section 24-1-136 (11)(a)(I). Currently there are no repeal dates in the organic statutes.Sections 3, 4, 5, 7, and 9continue indefinitely the reporting requirements contained in those statutory sections.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDan ThurlowSenatorAndy Kerr
526,HB17-1059,Reporting Requirements By Department Of Public Safety To General Assembly,"Statutory Revision Committee.Pursuant to section 24-1-136 (11)(a)(I), Colorado Revised Statutes, any report that is required to be made to the general assembly by an executive agency or the judicial branch on a periodic basis expires on the day after the third anniversary of the date on which the first report was due unless the general assembly, acting by bill, continues the requirement.Sections 1, 3, and 4continue indefinitely the reporting requirements contained in those statutory sections.Sections 2, 5, 6, and 7repeal reporting requirements by the department of public safety that were scheduled to repeal according to section 24-1-136 (11)(a)(I). Currently there is no repeal date listed in the organic statute.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDan ThurlowSenatorJack Tate
527,HB17-1060,Reporting Requirements By Health Care Policy & Financing To General Assembly,"Statutory Revision Committee.Pursuant to section 24-1-136 (11)(a)(I), Colorado Revised Statutes, any report that is required to be made to the general assembly by an executive agency or the judicial branch on a periodic basis expires on the day after the third anniversary of the date on which the first report was due unless the general assembly, acting by bill, continues the requirement.Sections 2, 6, 7, 9, and 10continue indefinitely the reporting requirements contained in those statutory sections.Sections 1, 3, and 4of the bill repeal reports from the state department and subsidiary officials that were scheduled to repeal according to section 24-1-136 (11)(a)(I). Currently there is no repeal date listed in the organic statute.Sections 5 and 8add a repeal date in the organic statute that coincides with the scheduled repeal date specified in section 24-1-136 (11)(a)(I).(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDan ThurlowSenatorJack Tate
528,HB17-1061,Modify Definition Of Commercial Vehicle,"Transportation Legislation Review Committee.The bill increases the minimum weight for classification as a commercial vehicle subject to the statutory and regulatory standards for commercial vehicles from 10,001 pounds to 16,001 pounds unless the vehicle is registered for use in interstate commerce. With respect to vehicles that would be classified as commercial vehicles but for the fact that they weigh between 10,001 and 16,000 pounds, the chief of the Colorado state patrol is authorized to adopt rules that authorize the Colorado state patrol to:Annually inspect these vehicles;Enforce with respect to these vehicles all requirements for the securing of loads that apply to commercial vehicles; andEnforce with respect to these vehicles all requirements relating to the use of coupling devices for commercial vehicles.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeJon BeckerRepresentativeJovan MeltonSenatorRay ScottSenatorNancy Todd
529,HB17-1062,Making Certain State Assessments Optional,"Under existing law, each local education provider must administer the state assessments in math and English language arts to students enrolled in ninth grade and must administer the state-selected assessment to students enrolled in tenth grade. Each local education provider must also administer a state social studies assessment to students in one  elementary-school grade, one middle-school grade, and one high-school grade on a 3-year schedule.Under the bill, each local education provider may choose whether to administer the state social studies assessments, the ninth-grade math and English language arts state assessments, and the tenth-grade assessment. The bill repeals the requirement that the department of education apply for a waiver to administer the ninth-grade math and English language arts state assessments to satisfy federal requirements.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativePerry BuckSenatorMichael MerrifieldSenatorVicki Marble
530,HB17-1063,Reduce Business Personal Property Taxes,"Under current law, if a business has less than $7,300 of personal property that would be listed on a single personal property schedule, then the personal property is exempt from the property tax and the business is not required to submit a schedule to the county assessor. With respect to this exemption, the bill reduces the amount of personal property tax that businesses pay by:Increasing the exemption that applies per schedule from $7,300 to $50,000, adjusted for inflation in the future, which increase will allow more businesses to avoid filing personal property tax schedules; andAllowing businesses whose personal property value exceeds the total exemption amount to claim the exemption.For public utilities that are assessed statewide, the property tax administrator currently considers all of a public utility's tangible property within the state as a factor in determining the value of the public utility as a unit. The bill modifies the valuation process by:Exempting the first $50,000 or an inflation-adjusted amount of personal property from the property tax and excluding it from the administrator's consideration for valuation purposes; andExcluding the exempt personal property from the public utility's statement of property that it files with the administrator.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeTimothy LeonardSenatorTim NevilleSenatorLarry Crowder
531,HB17-1064,Misuse Of Electronic Images By A Juvenile,"The bill creates the crime of misuse of electronic images by a juvenile. The offense prohibits a juvenile from knowingly distributing, displaying, or publishing through digital or electronic means, or possessing, a sexually explicit image of himself or herself or of another juvenile who, as depicted in the image, is within 4 years of age of the charged juvenile. If a juvenile is charged with the crime of misuse of  electronic images by a juvenile, he or she cannot be charged with sexual exploitation of a child. It is an affirmative defense to the distribution offense if the juvenile committed the act as a result of coercion, intimidation, or harassment. It is an affirmative defense to the possession offense if the juvenile:Did not solicit or request to be supplied with the image or images; andDid not participate in or encourage the making of the image or images; andDid not transmit or distribute the image or images to another person; andTook reasonable steps to either destroy or delete the images within 72 hours or reported the receipt of such image or images to law enforcement or a school official within 72 hours.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeYeulin WillettSenatorRhonda Fields
532,HB17-1065,Clarify Requirements Formation Metropolitan District,"Under existing law, no land area that is 40 acres or more used primarily and zoned for agricultural uses may be included in any park and recreation district without the written consent of the land owners.Sections 1 and 2of the bill make any metropolitan district providing parks or recreational facilities and programs subject to this limitation.Sections 3 and 4clarify that only those signatures obtained after the approval by a county or municipality of the service plan of a proposed special district may be considered by the district court in determining whether the required number of taxpaying electors of such district have signed the petition for organization.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeKimmi LewisSenatorVicki Marble
533,HB17-1066,Conservation Easement Tax Credit Landowner Relief,"A state income tax credit is allowed for a portion of the value of a perpetual conservation easement that is granted by a taxpayer on real property located in Colorado. In the past, when the department of revenue disputed the validity or amount of one of these credits, a taxpayer could attempt to resolve the dispute using an administrative appeal process  within the department. If the taxpayer was not satisfied with the final determination resulting from the administrative process, the taxpayer could appeal the final determination to a district court.Starting in 2011, after a backlog of disputed conservation easement claims developed in the administrative process, the law was changed to allow taxpayers to elect to appeal directly to a district court and avoid the administrative appeal process. Unlike taxpayers who stayed in the administrative process, taxpayers who elected to appeal directly to district court were not required to provide a surety bond or other deposit in connection with their appeals, and additional interest and penalties ceased to accrue during their appeals. The bill provides that no surety bond or other deposit is required and no interest and penalties are to accrue for both the administrative appeal process and the district court appeal process.The law currently allows a conservation easement to be terminated in the same manner as any other easement. The bill specifies that, in addition, a court may exercise its equitable jurisdiction to terminate a conservation easement for which a tax credit has been claimed in certain circumstances if the claim has been rejected.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeJon BeckerRepresentativeKimmi Lewis
534,HB17-1067,Update National Standards Citations Accessible Housing,"Statutory Revision Committee.The bill amends references to an out-of-date version of a standard, formerly promulgated by the American national standards institute but now promulgated by the international code council, that governs construction of accessible housing.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDan ThurlowSenatorAndy Kerr
535,HB17-1068,Prevailing Wages For CDOT Colorado Department Of Transportation Public-private Initiatives,"The state department of transportation (department), the statewide bridge enterprise, and the high-performance transportation enterprise are currently authorized to solicit proposals and consider unsolicited proposals for public-private initiatives for certain public projects. The bill specifies that the department, the statewide bridge enterprise, and the high-performance transportation enterprise may consider proposals, whether solicited or unsolicited, for a public-private initiative that anticipates using federal moneys only if the proposal includes labor costs for construction that use no less than the locally prevailing wages and fringe benefits for corresponding work on similar projects in the area set by the United States department of labor as directed by the federal 'Davis-Bacon Act'.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeAdrienne BenavidezSenatorDominick Moreno
536,HB17-1069,Subcommittee On Data Privacy,"The bill creates within the joint technology committee a  subcommittee on data privacy and cyber-security (subcommittee) to consider:Whether state governmental agencies are collecting or retaining data that exceeds what is necessary and appropriate for such agencies to perform their functions;Who has access to sensitive data, the extent of such access, and appropriate measures to protect sensitive data; andMeasures to protect sensitive data against unauthorized access, disclosure, use, modification, or destruction.The subcommittee shall submit its findings to the joint technology committee and to the general assembly by January 1, 2018. The subcommittee is repealed, effective July 1, 2018.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeTerri CarverRepresentativeJovan MeltonSenatorKevin Lundberg
537,HB17-1070,Study Drone Use By Public Safety Agencies,"The bill requires the center of excellence (center) within the division of fire prevention and control within the department of public safety (department), upon receiving sufficient money in the form of gifts, grants, and donations, to conduct a study concerning the integration of unmanned aircraft systems (UAS) within state and local government operations that relate to certain public-safety functions (study). At a minimum, the study must:Identify the most feasible and readily available ways to integrate UAS technology within local and state government functions relating to firefighting, search and rescue, accident reconstruction, and emergency management; andInclude consideration of privacy concerns, costs, and timeliness of deployment.The bill also creates, upon receipt of sufficient money in the form of gifts, grants, and donations, a UAS pilot program (pilot program) to integrate UAS within state and local government operations that relate to certain public-safety functions. The bill requires the center to operate the pilot program.Not later than one month after completing the study, the center shall submit a report to the wildfire matters review committee and to the judiciary committees of the house of representatives and senate, or to any successor committees. The report must address each item of the center's study, as well as the results of the pilot program.The bill adds the study and the pilot program as permissible uses of money from the existing Colorado firefighting air corps fund.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeJames WilsonSenatorDon CoramSenatorKerry Donovan
538,HB17-1071,Refund Monetary Amounts After Vacated Conviction,The bill establishes a process for a defendant who has paid a monetary amount due for a criminal conviction in a district or county court to request a refund of the amount paid if:The conviction was overturned and either the charges were dismissed or the person was acquitted following a new trial; orAll or part of an order for restitution was reversed and the defendant paid more restitution than was ultimately ordered.The bill directs the state court administrator to pay to the defendant  the amount of any refund found due.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More,Session:2017 Regular Session,Prime SponsorsRepresentativeCole WistRepresentativePete LeeSenatorBob GardnerSenatorDaniel Kagan
539,HB17-1072,Human Trafficking Sexual Servitude,"The bill amends the language defining the crime of human trafficking for sexual servitude to include that a person who knowingly advertises, offers to sell, or sells travel services that facilitate activities defined as human trafficking of a minor for sexual servitude commits the offense of human trafficking of a minor for sexual servitude. 'Travel services' are defined in the bill. Current law requires a person convicted of human trafficking of a minor for sexual servitude to be placed on the Colorado sex offender registry; the bill extends that requirement to persons convicted of human trafficking of any person of any age. The bill adds a provision to law allowing a person who was convicted of human trafficking for sexual servitude to petition the court to discontinue the person's duty to register on the sexual offender registry if he or she can establish, by a preponderance of the evidence, that at the time he or she committed the offense, he or she had been trafficked by another person for the purpose of committing the offense.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeLois LandgrafRepresentativePolly LawrenceSenatorJohn Cooke
540,HB17-1073,Enactment of CRS 2016,Committee on Legal Services.This bill enacts the softbound volumes of Colorado Revised Statutes 2016 and the 2016 Special Supplement as the positive and statutory law of the state of Colorado and establishes the effective date of said publications.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More,Session:2017 Regular Session,Prime SponsorsRepresentativeMike FooteSenatorRay Scott
541,HB17-1074,Repeal Obsolete Law Colorado Congressional Districts,"Statutory Revision Committee.The bill repeals a law relating to Colorado's congressional districts that has been rendered obsolete by the redistricting premised on the 2010 federal census. In addition, certain portions of the law being repealed were held unconstitutional by the state supreme court inPeople Ex Rel. Salazar v. Davidson, 79 P.3d 1221 (Colo. 2003) cert. denied, 541 U.S. 1093, 124 S. Ct. 2228, 159 L. Ed. 2d 260 (2004). The repeal of this law results in the removal of over 9,000 words of text from the Colorado Revised Statutes.The bill also makes a conforming amendment.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeJeni James ArndtSenatorChris Holbert
542,HB17-1075,Arrest Of An Offender On A Deferred Sentence,The bill sets forth the conditions under which a probation officer may arrest a defendant who has been granted a deferred judgment and sentence. The bill also makes corresponding amendments to the conditions under which a probation officer may arrest a probationer.(Note: This summary applies to this bill as introduced.)Read More,Session:2017 Regular Session,Prime SponsorsRepresentativeMatt Gray
543,HB17-1076,Artificial Recharge Nontributary Aquifer Rules,"Currently, the state engineer must promulgate rules for the permitting and use of waters artificially recharged into 4 named aquifers. The bill adds the requirement that the state engineer also promulgate rules for the permitting and use of waters artificially recharged into nontributary groundwater aquifers. The rules must be promulgated on or before July 1, 2018.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeJeni James ArndtSenatorDon CoramSenatorStephen Fenberg
544,HB17-1077,Useful Public Service Cash Fund,The bill creates the useful public service cash fund (fund) in the judicial branch to facilitate the administration of programs that supervise the performance of useful public service by persons who are required to perform such service pursuant to a criminal sentence.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More,Session:2017 Regular Session,Prime SponsorsRepresentativeDonald ValdezSenatorDon Coram
545,HB17-1078,Transfer Funds From Family Support Loan Program,"The bill repeals the Colorado family support loan fund and transfers any money remaining in that fund to a new fund created in the family support services program.The new family support services fund may be used for expenses relating to the termination and wind up of the Colorado family support loan fund, and to provide services under the family support services program to support families caring for a family member with intellectual and developmental disabilities.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeLois LandgrafSenatorDon Coram
546,HB17-1079,Continue Fees Wholesale Food Manufacture And Storage,"The bill amends provisions related to the continued collection of fees related to wholesale food manufacturing and storage. Specifically, the bill:Establishes an across-the-board annual application fee of $100;Specifies that a nonprofit facility, grain storage facility, brewery, brew pub, winery, or distiller of spirituous liquors is required to pay only the annual $100 application fee;Provides that wholesale food manufacturers or storage facilities with gross annual sales of less than $150,000 are required to pay the annual $100 application fee plus an additional registration fee of $60;Provides that wholesale food manufacturers or storage facilities with gross annual sales of $150,000 or more are required to pay the annual $100 application fee plus an additional registration fee of $300; andIncreases the fee for a certificate of free sale from the existing $128 to $150.The bill also removes the repeal date from statute.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeChris KennedySenatorDon CoramSenatorCheri Jahn
547,HB17-1080,Requirements Durable Medical Equipment Suppliers,"The bill amends the definition of 'durable medical equipment supplier' to include a person or entity that bills or bids or plans to bill or bid in the current calendar year for services or products listed in the centers for medicare and medicaid services durable medical equipment, prosthetics, orthotics, and supplies in a current bidding program or pursuant to any successor bidding program..The bill clarifies the requirements for a durable medical equipment supplier to do business in Colorado. For each of its physical locations providing services in Colorado, a durable medical equipment supplier must be licensed by the Colorado secretary of state and attest that each of its physical locations providing services in Colorado are within 100 miles of any Colorado-resident medicare beneficiary being served by the supplier in Colorado or any Colorado medicaid recipient who is being served by the provider in Colorado.The bill includes language relating to licensing durable medical equipment suppliers that prohibits a supplier from meeting the requirements through a durable medical equipment warehouse or repair facility, but does allow a supplier to domicile a fully accredited facility within a durable medical equipment warehouse or repair facility.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDave YoungSenatorLarry Crowder
548,HB17-1081,Olympic Athletes Colorado In-state Tuition,"The bill allows a state-supported institution of higher education to charge in-state tuition to an athlete residing anywhere in Colorado and training in an elite level program in Colorado approved by the United States Olympic committee and the governing body of an Olympic, Paralympic, Pan American, or Parapan American sport. The bill removes the requirement in current law that athletes must be residing in Colorado Springs.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDan NordbergSenatorStephen Fenberg
549,HB17-1082,BEST Building Excellent Schools Today Act Technology Grant Funding,"Section 1of the bill amends the definition of 'capital construction' used for purposes of the 'Building Excellent Schools Today Act' (BEST) to include 'technology', as defined insection 3.Section 3defines the term 'technology' for purposes of BEST to include hardware, devices, or equipment necessary for individual student learning and classroom instruction, including access to electronic instructional materials, or necessary for professional use by a classroom teacher.Section 2incorporates the new definition of 'technology' into the existing requirement that the BEST board's public school facility capital construction guidelines address technology. Section 3 also clarifies that the public school capital construction assistance board (BEST board) may provide financial assistance to public schools in the form of technology grants and requires the BEST board to annually notify potential applicants for financial assistance that it will accept applications for technology grants.Section 4requires the project lists in the BEST board's annual report to include sublists of technology projects for which financial assistance has been awarded or applied for and denied.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDan PabonSenatorJack Tate
550,HB17-1083,Municipal Judge Advisement For Traffic Offenses,House Bill 16-1309 requires a judge to inform a defendant of certain rights at the defendant's first appearance in prosecutions in municipal courts. The bill excludes cases involving traffic infractions or violations for which the penalty is only a fine and for which jail is not a possibility.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More,Session:2017 Regular Session,Prime SponsorsRepresentativeLarry ListonSenatorBob Gardner
551,HB17-1084,Hotel Wine Alcohol Sales,"The bill allows hotels with a valid hotel and restaurant license to apply for a wine-expanded permit. The wine-expanded permit authorizes a hotel to sell bottles of wine in the restaurant for on- and off-premises  consumption, subject to limitations.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeJovan Melton
552,HB17-1085,Women's Health Protection Act,"The bill requires all abortion clinics to file an annual registration with the attorney general. The attorney general shall create and make available the registration form. While keeping identifying information of any women who sought an abortion private, the registration form must include the following information:The number of abortions performed at the clinic during the  previous year, including the trimester in which the abortion was performed, based on appropriately maintained records kept by the clinic;A specific report for each abortion performed at or after 20 weeks' gestation;A description of the method or methods of abortion performed at the clinic;The name of each physician performing abortions at the clinic, along with the state of each physician's licensure, any board certifications or specialties maintained by the physician, and any disciplinary action taken against the physician in the last 5 years;The number of babies born alive at the clinic during the year, whether the babies were born prior to, during, or after the attempted completion of an abortion, whether or not these babies survived, whether or not they were viable, and whether or not they were transported to a hospital; andThe number of patients, including women and born-alive infants, who were transported to a hospital from the clinic following a partially or fully completed abortion in the previous year.The attorney general has 30 days to reject an inaccurate or incomplete registration form and 30 days from the date of discovery to reject a form that contains false or fraudulent information. Failure to file a registration form or operating without a registration form subjects an abortion clinic to a fine, a suspension, or closure. All registration forms and inspection or investigation forms are public records.The attorney general has a duty to inspect, without notice, each registered abortion clinic at least annually. At a minimum, each inspection must determine whether the abortion clinic is performing abortions at or after 20 weeks' gestation and whether it is operating with:Medically modern ultrasound equipment;Equipment to preserve the life of and to resuscitate born-alive infants;Legally approved methods of medical and hazardous waste disposal;Medically safe standards for sterilization of instruments and procedure areas and storage, medically safe policies for expired and opened medicines, and emergency exits sufficient to accommodate a stretcher or gurney; andProper 'Health Insurance Portability and Accountability Act of 1996' policies.If the attorney general finds an inspection violation, he or she may impose a fine up to $5,000 or impose a suspension or closure of the abortion clinic.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativePatrick Neville
553,HB17-1086,Abortion Pill Reversal Information Act,The bill ensures that a woman is given information regarding the possibility of an abortion pill reversal so that she is fully informed and is given options to continue the pregnancy and preserve the mother-child relationship when she desires to do so. The department of public health and environment must publish a statement on its website regarding abortion pill reversal. The woman's doctor shall provide her with this  statement at least 24 hours before providing the abortion pill.(Note: This summary applies to this bill as introduced.)Read More,Session:2017 Regular Session,Prime SponsorsRepresentativeJustin EverettRepresentativeDan NordbergSenatorVicki Marble
554,HB17-1087,Office Of Public Guardianship Pilot Program,"The bill creates the office of public guardianship (office) within the judicial department to provide legal guardianship services to indigent and incapacitated adults who:Have no responsible family members or friends who are available and appropriate to serve as a guardian;Lack adequate resources to compensate a private guardian and pay the costs and fees associated with an appointment proceeding; andAre not subject to a petition for appointment of guardian filed by a county adult protective services unit or otherwise authorized by law.The office is established as a pilot program, to be evaluated and then continued, discontinued, or expanded at the discretion of the general assembly in 2021. On or before January 1, 2021, the director of the office shall submit a report to the judiciary committees of the senate and the house of representatives. The report, at a minimum, must:Quantify, to the extent possible, Colorado's unmet need for public guardianship services for indigent and incapacitated adults;Quantify, to the extent possible, the average annual cost of providing guardianship services to indigent and incapacitated adults;Quantify, to the extent possible, the net cost or benefit, if any, to the state that may result from the provision of guardianship services to each indigent and incapacitated adult in each judicial district of the state;Assess whether an independent statewide office of public guardianship is preferable and feasible;Analyze costs and off-setting savings to the state from the delivery of public guardianship services; andProvide uniform and consistent data elements regarding service delivery in an aggregate format that does not include any personal identifying information of any person.The bill creates the public guardianship commission (commission) within the judicial department and charges the commission with appointing a director of the office. The director serves at the pleasure of the commission.The bill creates the office of public guardianship cash fund (fund) in the state treasury. The fund consists of any money that the office receives from gifts, grants, or donations as well as any other money appropriated to the fund by the general assembly.The bill requires the director of the office to develop rules to implement the pilot program.The bill delays the creation of the pilot program and the appointment of the director of the pilot program until the fund receives at least $1,700,000 in gifts, grants, and donations.The office and the fund are repealed, effective June 30, 2021.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeDave YoungSenatorKevin Lundberg
555,HB17-1088,Voter Signature Verification & Electronic Petition Pilot,"Commencing in 2018,section 1of the bill requires signature verification for candidate petitions that are required to be filed with the secretary of state's office, describes the processes by which signatures are evaluated and candidates given an opportunity to cure a signature that is not verified, and authorizes the secretary of state to promulgate rules regarding such signature verification.Section 2creates a procedure by which a major or minor party candidate who is required to file his or her petition with the secretary of state's office may cure errors or insufficiencies regarding circulator affidavits. Section 2 directs the secretary to promulgate rules to implement the cure process.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativePatrick NevilleSenatorTim Neville
556,HB17-1089,Parent Choice In Low-performing School Districts,"The bill identifies a school district that is accredited with priority improvement plan or accredited with turnaround plan for 5 consecutive school years as a chronically low-performing school district. A chronically low-performing school district must establish a parent choice program under which it creates a parent choice account for the parent of each student who resides within and is enrolled in the school district. The  school district must deposit into each account the per-pupil amount of the state share of total program and the per-pupil share of categorical program funding, as applicable to the student, that the school district receives for the school year and may deposit the per-pupil amount of the local share of total program that the school district collects for the school year. If the school district does not deposit the per-pupil amount of the local share, it is not authorized to collect property tax for that school year, but the state share is calculated as if the school district collected the property tax.A parent may withdraw money from his or her account only to purchase educational services for the parent's child. Educational services include enrolling the child in certain public schools, including online schools, of a school district other than the chronically low-performing school district or in certain institute charter schools. A parent may also choose to enroll his or her student in a public school of the chronically low-performing school district, in which case the school district is not required to deposit money in the parent's account while the student is enrolled in the public school. The parent may change educational services or public schools at any time during the school year.The school district must adopt procedures by which a parent may withdraw money from his or her account and by which he or she must report to the school district how the money is used. If a parent misuses money from the account, the parent must reimburse the money to the school district. If a parent misuses money 2 times in a school year, the school district will stop depositing money into the account and notify the parent that he or she may enroll the student in a school of the school district. A parent who disputes the accounting may appeal to the school district board of education and, if dissatisfied with the board's decision, to the state board of education.The school district must operate the parent choice program until the school district achieves the status of accredited or higher. While operating the program, the school district continues to be subject to school district accountability requirements, including ensuring that the students enrolled in the school district participate in state assessments, and is held accountable for the academic performance of students who are enrolled in the school district, regardless of whether the students are enrolled in schools of the school district.Each chronically low-performing school district is deemed to be a school district of innovation. It must submit an innovation plan to the state board of education and may exercise the powers that are provided to school districts of innovation.(Note: This summary applies to this bill as introduced.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativePaul Lundeen
557,HB17-1090,Advanced Industry Investment Tax Credit Extension,"A qualified investor who, prior to January 1, 2018, makes an equity investment in a qualified small business from an advanced industry is allowed an income tax credit that is equal to a percentage of the investment, up to a maximum credit of $50,000. The Colorado office of economic development (office) determines the eligibility for the tax credits and issues nontransferable tax credit certificates that are used to claim the credit. The maximum amount of tax credits allowed for a calendar year is $750,000.The bill extends the credit by allowing qualified investments made on or after January 1, 2018, but prior to January 1, 2023, to qualify for the tax credit. From 2019 through 2022, the total maximum amount of credits for a calendar year is increased to $1.5 million. Beginning with the 2018 calendar year, if the office authorizes less than this amount in a year, then the remaining, unused credits are added to the next year's total maximum amount. In addition, the definition of 'qualified small business' is expanded to include a company that has annual revenues of less than $5 million or that has been actively operating and generating revenue for less than 5 years. Currently, a business must meet both criteria, in addition to other criteria that will continue to apply.The advanced industry investment tax credit cash fund, which was started with money transferred from another cash fund and has no current revenue source, is repealed.In 2022, the office is required to submit to legislative committees a report that includes information about the tax credits issued after January 1, 2018, and the economic benefits from the related qualified investments.(Note: This summary applies to the reengrossed version of this bill as introduced in the second house.)Read More",Session:2017 Regular Session,Prime SponsorsRepresentativeTracy Kraft-TharpRepresentativeJames WilsonSenatorBob GardnerSenatorJohn Kefalas
