,Bill Number,Title,Link,Description,Last Action,Governor Signed,Sponsors,Subjects,Session,Types,Last Action Date
1472,HB19-1188,Greenhouse Gas Pollution Impact In Fiscal Notes,/bills/hb19-1188,"Concerning the inclusion of the net impact on greenhouse gas pollution in the fiscal notes prepared for legislative measures, and, in connection therewith, making an appropriation.",Last Action:05/29/2019 | Governor Signed,1,"Rep. E. Sirota, Rep. M. Snyder, Sen. M. Foote",General AssemblyState Government,2019 Regular Session,Type:Bill,2019-05-29
1473,HB19-1189,Wage Garnishment Reform,/bills/hb19-1189,"Concerning wage garnishment reform, and, in connection therewith, reducing disposable earnings by health insurance premiums, reducing the amount that is subject to garnishment, and providing more detailed information to the judgment debtor regarding garnishment.",Last Action:05/20/2019 | Governor Signed,1,"Rep. M. Gray, Rep. A. Valdez, Sen. J. Bridges, Sen. R. Fields",Courts & Judicial,2019 Regular Session,Type:Bill,2019-05-20
1474,HB19-1190,Repeal Of Mill Levy Equalization Fund,/bills/hb19-1190,Concerning repeal of the mill levy equalization fund.,Last Action:03/5/2019 | House Committee on Education Postpone Indefinitely,0,Rep. C. Kipp,Education & School Finance (Pre & K-12),2019 Regular Session,Type:Bill,2019-03-05
1475,HB19-1191,Allow Farm Stands On Any Size Principal Use Site,/bills/hb19-1191,Concerning the ability of a farm stand to be operated on a principal use site of any sized land area regardless of whether the site has been zoned by a local government for agricultural operations.,Last Action:04/12/2019 | Governor Signed,1,"Rep. J. Arndt, Sen. K. Donovan",AgricultureLocal Government,2019 Regular Session,Type:Bill,2019-04-12
1476,HB19-1192,Inclusion Of American Minorities In Teaching Civil Government,/bills/hb19-1192,"Concerning the inclusion of matters relating to American minorities in the teaching of social contributions in civil government in public schools, and, in connection therewith, establishing the history, culture, social contributions, and civil government in education commission to make recommendations to include the history, culture, and social contributions of American Indians, Latinos, African Americans, and Asian Americans, the lesbian, gay, bisexual, and transgender individuals within these minority groups, the contributions and persecution of religious minorities, and the intersectionality of significant social and cultural features within these communities, in the teaching and content standards for history and civics, and making an appropriation.",Last Action:05/28/2019 | Governor Signed,1,"Rep. S. Gonzales-Gutierrez, Rep. B. Buentello, Sen. J. Gonzales",Education & School Finance (Pre & K-12),2019 Regular Session,Type:Bill,2019-05-28
1477,HB19-1193,Behavioral Health Supports For High-risk Families,/bills/hb19-1193,"Concerning behavioral health supports for high-risk families, and, in connection therewith, making an appropriation.",Last Action:05/23/2019 | Governor Signed,1,"Rep. L. Herod, Rep. R. Pelton, Sen. L. Garcia",Human Services,2019 Regular Session,Type:Bill,2019-05-23
1478,HB19-1194,School Discipline For Preschool Through Second Grade,/bills/hb19-1194,Concerning the discipline of preschool through second grade students enrolled in publicly funded education programs.,Last Action:05/13/2019 | Governor Signed,1,"Rep. S. Lontine, Rep. C. Larson, Sen. K. Priola, Sen. R. Fields",Education & School Finance (Pre & K-12),2019 Regular Session,Type:Bill,2019-05-13
1479,HB19-1195,Restrict Election Communications County Candidates,/bills/hb19-1195,Concerning restrictions on specified communications by a candidate for county elected office.,"Last Action:03/14/2019 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Rep. K. Mullica,Elections & RedistrictingLocal Government,2019 Regular Session,Type:Bill,2019-03-14
1480,HB19-1196,Financial Aid For Students With In-state Tuition,/bills/hb19-1196,Concerning student financial assistance for students who are classified as in-state students for tuition purposes.,Last Action:05/13/2019 | Governor Signed,1,"Rep. S. Gonzales-Gutierrez, Sen. D. Moreno",Higher Education,2019 Regular Session,Type:Bill,2019-05-13
1481,HB19-1197,Protect Social Workers' Personal Information On Internet,/bills/hb19-1197,Concerning restrictions on making public the personal information of government employees whose official duties involve child abuse and neglect cases.,Last Action:04/11/2019 | Governor Signed,1,"Rep. T. Carver, Rep. J. Singer, Sen. P. Lee, Sen. B. Gardner","Children & Domestic MattersCrimes, Corrections, & EnforcementHuman Services",2019 Regular Session,Type:Bill,2019-04-11
1482,HB19-1198,Electric Vehicle Grant Fund,/bills/hb19-1198,Concerning the powers and duties of the electric vehicle grant fund.,Last Action:04/17/2019 | Governor Signed,1,"Rep. A. Valdez, Rep. D. Valdez, Sen. J. Bridges, Sen. K. Priola",State Government,2019 Regular Session,Type:Bill,2019-04-17
1483,HB19-1199,Colorado Clean Pass Act,/bills/hb19-1199,Concerning the conditions under which operation of a plug-in electric motor vehicle on an express lane without regard to the number of persons in the vehicle and without payment of a toll or with payment of a reduced toll is allowed.,Last Action:04/15/2019 | House Committee on Finance Postpone Indefinitely,0,"Rep. A. Valdez, Sen. B. Pettersen, Sen. F. Winter",Transportation & Motor Vehicles,2019 Regular Session,Type:Bill,2019-04-15
1484,HB19-1200,Reclaimed Domestic Wastewater Point Of Compliance,/bills/hb19-1200,Concerning the point of compliance related to the treatment process involved in treating reclaimed domestic wastewater for indoor nonpotable uses within a building where the general public can access plumbing fixtures that are used to deliver the reclaimed domestic wastewater.,Last Action:04/4/2019 | Governor Signed,1,"Rep. J. Arndt, Sen. J. Bridges, Sen. D. Coram",Natural Resources & EnvironmentWater,2019 Regular Session,Type:Bill,2019-04-04
1485,HB19-1201,Board Of Education Executive Session Negotiations Strategy,/bills/hb19-1201,Concerning the ability of a board of education of a school district to meet in executive session to discuss the district's strategy in conducting negotiations relating to certain employment-related agreements.,Last Action:04/12/2019 | Governor Signed,1,"Rep. C. Kipp, Rep. J. Wilson, Sen. D. Coram, Sen. T. Story",Education & School Finance (Pre & K-12)State Government,2019 Regular Session,Type:Bill,2019-04-12
1486,HB19-1202,Food Systems Advisory Council,/bills/hb19-1202,"Concerning the food systems advisory council, and, in connection therewith, making an appropriation.",Last Action:05/31/2019 | Governor Signed,1,"Rep. B. McLachlan, Rep. R. Galindo, Sen. J. Ginal, Sen. K. Priola",Agriculture,2019 Regular Session,Type:Bill,2019-05-31
1487,HB19-1203,School Nurse Grant Program,/bills/hb19-1203,"Concerning the creation of a grant program to increase the number of school nurses, and, in connection therewith, making an appropriation.",Last Action:05/29/2019 | Governor Signed,1,"Rep. K. Mullica, Sen. N. Todd",Education & School Finance (Pre & K-12)Public Health,2019 Regular Session,Type:Bill,2019-05-29
1488,HB19-1204,Prohibit Camping Environmentally Sensitive Areas,/bills/hb19-1204,Concerning a prohibition on camping without authorization near environmentally sensitive areas.,Last Action:03/4/2019 | House Committee on Energy & Environment Postpone Indefinitely,0,"Rep. S. Beckman, Rep. S. Sandridge",Natural Resources & EnvironmentPublic Health,2019 Regular Session,Type:Bill,2019-03-04
1489,HB19-1205,Reimburse Expenses Restorative Justice Council,/bills/hb19-1205,Concerning allowing reimbursement for expenses for members of the restorative justice coordinating council.,Last Action:05/28/2019 | Governor Signed,1,"Rep. J. Arndt, Sen. L. Court",Children & Domestic Matters,2019 Regular Session,Type:Bill,2019-05-28
1490,HB19-1206,Higher Education Supplemental Academic Instruction,/bills/hb19-1206,Concerning removing equity gaps in higher education by ensuring more students have access to supplemental academic instruction.,Last Action:04/25/2019 | Governor Signed,1,"Rep. J. Coleman, Rep. C. Larson, Sen. J. Bridges, Sen. P. Lundeen",Higher Education,2019 Regular Session,Type:Bill,2019-04-25
1491,HB19-1207,Winter Conditions And Traction Control Requirements,/bills/hb19-1207,Concerning a requirement that motor vehicles meet traction-control standards for winter conditions.,Last Action:05/17/2019 | Governor Signed,1,"Rep. D. Roberts, Sen. K. Donovan, Sen. B. Rankin",Transportation & Motor Vehicles,2019 Regular Session,Type:Bill,2019-05-17
1492,HB19-1208,Physical Therapists Youth Athletes Head Trauma,/bills/hb19-1208,Concerning the designation of physical therapists as health care providers for the purpose of ensuring compliance with required head trauma guidelines in organized youth athletic activities.,Last Action:05/6/2019 | Governor Signed,1,"Rep. J. Singer, Rep. L. Landgraf, Sen. R. Fields, Sen. B. Gardner",Professions & Occupations,2019 Regular Session,Type:Bill,2019-05-06
1493,HB19-1209,Aeronautical Reporting Requirements,/bills/hb19-1209,Concerning repealing aeronautical reporting requirements.,Last Action:04/10/2019 | Governor Signed,1,"Rep. M. Froelich, Rep. A. Valdez, Sen. J. Bridges",Transportation & Motor Vehicles,2019 Regular Session,Type:Bill,2019-04-10
1494,HB19-1210,Local Government Minimum Wage,/bills/hb19-1210,Concerning the repeal of the prohibitions on a local government establishing minimum wage laws within its jurisdiction.,Last Action:05/28/2019 | Governor Signed,1,"Rep. J. Melton, Rep. R. Galindo, Sen. J. Danielson, Sen. D. Moreno",Labor & EmploymentLocal Government,2019 Regular Session,Type:Bill,2019-05-28
1495,HB19-1211,Prior Authorization Requirements Health Care Service,/bills/hb19-1211,Concerning prior authorization requests submitted by providers for a determination of coverage of health care services under a health benefit plan.,Last Action:05/13/2019 | Governor Signed,1,"Rep. D. Michaelson Jenet, Rep. Y. Caraveo, Sen. A. Williams",Health Care & Health Insurance,2019 Regular Session,Type:Bill,2019-05-13
1496,HB19-1212,Recreate Homeowners' Association Community Manager Licensing,/bills/hb19-1212,Concerning the recreation of the community association manager licensing program.,Last Action:05/31/2019 | Governor Vetoed,0,"Rep. B. Titone, Rep. M. Duran, Sen. R. Fields, Sen. N. Todd",Business & Economic DevelopmentHousingProfessions & Occupations,2019 Regular Session,Type:Bill,2019-05-31
1497,HB19-1213,Urban Drainage Flood Control District Director Compensation,/bills/hb19-1213,Concerning the compensation payable to a member of a board of directors of an urban drainage and flood control district.,Last Action:04/25/2019 | Governor Signed,1,"Rep. B. Titone, Sen. K. Priola",Local Government,2019 Regular Session,Type:Bill,2019-04-25
1498,HB19-1214,Joint Budget Committee Requirement To Recommend Capital Financing Methods,/bills/hb19-1214,Concerning a requirement that the joint budget committee recommend new methods to finance the state's ongoing capital needs.,Last Action:05/29/2019 | Governor Signed,1,"Rep. C. Hansen, Sen. B. Rankin",Capital Construction,2019 Regular Session,Type:Bill,2019-05-29
1499,HB19-1215,Child Support Commission Recommendations,/bills/hb19-1215,"Concerning legislative recommendations of the Colorado child support commission, and, in connection therewith, making an appropriation.",Last Action:05/23/2019 | Governor Signed,1,"Rep. J. Singer, Sen. L. Crowder",Children & Domestic Matters,2019 Regular Session,Type:Bill,2019-05-23
1500,HB19-1216,Reduce Insulin Prices,/bills/hb19-1216,"Concerning measures to reduce a patient's costs of prescription insulin drugs, and, in connection therewith, making an appropriation.",Last Action:05/22/2019 | Governor Signed,1,"Rep. D. Roberts, Sen. K. Donovan, Sen. K. Priola",Health Care & Health Insurance,2019 Regular Session,Type:Bill,2019-05-22
1501,HB19-1217,PERA Public Employees' Retirement Association Local Government Division Member Contribution Rate,/bills/hb19-1217,Concerning the elimination of the two percent increase in the member contribution rate to the public employees' retirement association for members in the local government division of the association.,Last Action:05/20/2019 | Governor Signed,1,"Rep. K. Becker, Sen. L. Court, Sen. J. Tate",Local GovernmentState Government,2019 Regular Session,Type:Bill,2019-05-20
1502,HB19-1218,Loaned Water For Instream Flows To Improve Environment,/bills/hb19-1218,Concerning the Colorado water conservation board's authority to use water that a water right owner voluntarily loans to the board for instream flow purposes.,Last Action:04/17/2019 | Senate Committee on Agriculture & Natural Resources Postpone Indefinitely,0,"Rep. D. Roberts, Sen. K. Donovan",Water,2019 Regular Session,Type:Bill,2019-04-17
1503,HB19-1219,Child Welfare Permanency Planning,/bills/hb19-1219,Concerning modernization of the permanency hearing statutes.,Last Action:05/20/2019 | Governor Signed,1,"Rep. S. Gonzales-Gutierrez, Sen. L. Crowder",Children & Domestic Matters,2019 Regular Session,Type:Bill,2019-05-20
1504,HB19-1220,Court Facility Dog During Witness Testimony,/bills/hb19-1220,Concerning allowing a court facility dog to accompany a witness during testimony.,Last Action:05/1/2019 | Governor Signed,1,"Rep. T. Sullivan, Sen. R. Fields",Courts & Judicial,2019 Regular Session,Type:Bill,2019-05-01
1505,HB19-1221,Regulation Of Electric Scooters,/bills/hb19-1221,Concerning the regulation of electric scooters.,Last Action:05/23/2019 | Governor Signed,1,"Rep. J. Coleman, Rep. A. Valdez, Sen. J. Bridges, Sen. B. Pettersen",Transportation & Motor Vehicles,2019 Regular Session,Type:Bill,2019-05-23
1506,HB19-1222,International Baccalaureate Exam Fee Grant,/bills/hb19-1222,Concerning a grant program to reduce the amount of the international baccalaureate exam fee paid by students.,Last Action:05/16/2019 | Governor Signed,1,"Rep. C. Kipp, Rep. J. McCluskie, Sen. T. Story",Education & School Finance (Pre & K-12),2019 Regular Session,Type:Bill,2019-05-16
1507,HB19-1223,Social Security Disability Application Assistance,/bills/hb19-1223,"Concerning application assistance for persons seeking federal disability benefits, and, in connection therewith, making an appropriation.",Last Action:05/31/2019 | Governor Signed,1,"Rep. D. Michaelson Jenet, Rep. C. Larson, Sen. F. Winter",Human Services,2019 Regular Session,Type:Bill,2019-05-31
1508,HB19-1224,Free Menstrual Hygiene Products In Custody,/bills/hb19-1224,Concerning providing free menstrual hygiene products to people in custody.,Last Action:04/25/2019 | Governor Signed,1,"Rep. L. Herod, Sen. F. Winter","Crimes, Corrections, & Enforcement",2019 Regular Session,Type:Bill,2019-04-25
1509,HB19-1225,No Monetary Bail For Certain Low-level Offenses,/bills/hb19-1225,Concerning prohibiting the use of monetary bail for certain levels of offenses except in certain circumstances.,Last Action:04/25/2019 | Governor Signed,1,"Rep. L. Herod, Rep. M. Soper, Sen. P. Lundeen, Sen. P. Lee","Courts & JudicialCrimes, Corrections, & Enforcement",2019 Regular Session,Type:Bill,2019-04-25
1510,HB19-1226,Bond Reform,/bills/hb19-1226,"Concerning changes to release on bond, and, in connection therewith, the development of a pretrial screening process and administrative order for release without any monetary conditions; creating a presumption of release with the least restrictive conditions and without monetary conditions; specifying the information the court considers when making determinations about type of bond and conditions of release;       a requirement for pretrial services programs throughout the state; and making an appropriation.",Last Action:05/1/2019 | Senate Committee on Appropriations Refer Amended to Senate Committee of the Whole,0,"Rep. L. Herod, Rep. M. Soper, Sen. P. Lee","Courts & JudicialCrimes, Corrections, & Enforcement",2019 Regular Session,Type:Bill,2019-05-01
1511,HB19-1227,Prevailing Wage Working Group In Department of Personnel and Administration,/bills/hb19-1227,Concerning a requirement that the department of personnel create a prevailing wage working group to determine the appropriate manner in which to implement a prevailing wage requirement for state contracts.,Last Action:04/30/2019 | Senate Second Reading Laid Over to 05/04/2019 - No Amendments,0,"Rep. A. Benavidez, Sen. P. Lee",State Government,2019 Regular Session,Type:Bill,2019-04-30
1512,HB19-1228,Increase Tax Credit Allocation Affordable Housing,/bills/hb19-1228,Concerning an increase in the aggregate amount of the tax credits that the Colorado housing and finance authority may allocate in a calendar year under the Colorado affordable housing tax credit.,Last Action:05/17/2019 | Governor Signed,1,"Rep. S. Bird, Rep. B. Titone, Sen. R. Zenzinger, Sen. J. Tate",Fiscal Policy & TaxesHousing,2019 Regular Session,Type:Bill,2019-05-17
1513,HB19-1229,Electronic Preservation Of Abandoned Estate Documents,/bills/hb19-1229,"Concerning the ""Colorado Electronic Preservation of Abandoned Estate Planning Documents Act"".",Last Action:05/22/2019 | Governor Signed,1,"Rep. D. Roberts, Rep. M. Snyder, Sen. B. Gardner, Sen. P. Lee",Civil LawCourts & Judicial,2019 Regular Session,Type:Bill,2019-05-22
1514,HB19-1230,Marijuana Hospitality Establishments,/bills/hb19-1230,"Concerning marijuana hospitality establishments, and, in connection therewith, making an appropriation.",Last Action:05/29/2019 | Governor Signed,1,"Rep. J. Singer, Rep. J. Melton, Sen. V. Marble, Sen. J. Gonzales","Liquor, Tobacco, & Marijuana",2019 Regular Session,Type:Bill,2019-05-29
1515,HB19-1231,New Appliance Energy And Water Efficiency Standards,/bills/hb19-1231,"Concerning efficiency standards for equipment sold in Colorado, and, in connection therewith, requiring certain appliances, plumbing fixtures, and other products sold for residential or commercial use to meet energy efficiency and water efficiency standards.",Last Action:05/30/2019 | Governor Signed,1,"Rep. M. Froelich, Rep. C. Kipp, Sen. P. Lee, Sen. K. Priola",Business & Economic DevelopmentEnergyNatural Resources & EnvironmentWater,2019 Regular Session,Type:Bill,2019-05-30
1516,HB19-1232,Aligning Indian Child Welfare Act Requirements,/bills/hb19-1232,"Concerning the alignment of compliance with the federal ""Indian Child Welfare Act"".",Last Action:05/28/2019 | Governor Signed,1,"Rep. S. Gonzales-Gutierrez, Rep. M. Catlin, Sen. D. Coram, Sen. R. Rodriguez",Children & Domestic Matters,2019 Regular Session,Type:Bill,2019-05-28
1517,HB19-1233,Investments In Primary Care To Reduce Health Costs,/bills/hb19-1233,"Concerning payment system reforms to reduce health care costs by increasing utilization of primary care, and, in connection therewith, making an appropriation.",Last Action:05/16/2019 | Governor Signed,1,"Rep. M. Froelich, Rep. Y. Caraveo, Sen. J. Ginal, Sen. D. Moreno",Health Care & Health Insurance,2019 Regular Session,Type:Bill,2019-05-16
1518,HB19-1234,Regulated Marijuana Delivery,/bills/hb19-1234,"Concerning allowing delivery of regulated marijuana by regulated marijuana sellers, and, in connection therewith, making an appropriation.",Last Action:05/29/2019 | Governor Signed,1,"Rep. A. Valdez, Rep. J. Singer, Sen. J. Gonzales, Sen. V. Marble","Liquor, Tobacco, & Marijuana",2019 Regular Session,Type:Bill,2019-05-29
1519,HB19-1235,Limit Encryption Of Dispatch Radio Communications,/bills/hb19-1235,Concerning dispatch radio communications by governmental entities.,Last Action:04/3/2019 | House Committee on Transportation & Local Government Postpone Indefinitely,0,Rep. K. Van Winkle,"Crimes, Corrections, & EnforcementLocal GovernmentState Government",2019 Regular Session,Type:Bill,2019-04-03
1520,HB19-1236,Workforce Diploma Pilot Program,/bills/hb19-1236,"Concerning the creation of a workforce diploma pilot program, and, in connection therewith, making an appropriation.",Last Action:06/1/2019 | Governor Signed,1,"Rep. M. Gray, Rep. T. Sullivan, Sen. N. Todd",Education & School Finance (Pre & K-12)Higher EducationLabor & Employment,2019 Regular Session,Type:Bill,2019-06-01
1521,HB19-1237,Licensing Behavioral Health Entities,/bills/hb19-1237,"Concerning licensing behavioral health entities, and, in connection therewith, making an appropriation.",Last Action:06/3/2019 | Governor Signed,1,"Rep. L. Cutter, Rep. P. Will, Sen. R. Woodward, Sen. J. Ginal",Human ServicesPublic Health,2019 Regular Session,Type:Bill,2019-06-03
1522,HB19-1238,Clarification Of Manufactured Housing Standards,/bills/hb19-1238,Concerning the authority of the division of housing to regulate factory-built structures.,Last Action:04/25/2019 | Governor Signed,1,"Rep. M. Gray, Rep. K. Van Winkle, Sen. F. Winter, Sen. K. Priola",Housing,2019 Regular Session,Type:Bill,2019-04-25
1523,HB19-1239,Census Outreach Grant Program,/bills/hb19-1239,"Concerning the promotion of an accurate count in the decennial census by creating a census outreach program, and, in connection therewith, making an appropriation.",Last Action:05/23/2019 | Governor Signed,1,"Rep. K. Tipper, Rep. Y. Caraveo, Sen. K. Priola, Sen. F. Winter",State Government,2019 Regular Session,Type:Bill,2019-05-23
1524,HB19-1240,Sales And Use Tax Administration,/bills/hb19-1240,"Concerning sales and use tax administration, and, in connection therewith, establishing economic nexus for retailers without physical presence in the state, codifying the destination sourcing rule with a specified exception, requiring marketplace facilitators to collect and remit sales tax for sales made by marketplace sellers on the marketplace facilitator's marketplace, and repealing obsolete statutory references to remote sellers.",Last Action:05/23/2019 | Governor Signed,1,"Rep. T. Kraft-Tharp, Rep. K. Van Winkle, Sen. L. Court, Sen. J. Tate",Fiscal Policy & Taxes,2019 Regular Session,Type:Bill,2019-05-23
1525,HB19-1241,University of Colorado Training And Scholarships Rural Physicians,/bills/hb19-1241,"Concerning the rural track in the university of Colorado school of medicine, and, in connection therewith, requiring the school to provide training and scholarships to students who commit to practicing medicine for a certain period of time in a rural or frontier area that is also a primary care health professional shortage area.",Last Action:05/9/2019 | House Committee on Appropriations Lay Over Unamended - Amendment(s) Failed,0,"Rep. B. Buentello, Rep. J. Wilson, Sen. J. Ginal, Sen. D. Hisey",Health Care & Health Insurance,2019 Regular Session,Type:Bill,2019-05-09
1526,HB19-1242,Board Of Pharmacy Regulate Pharmacy Technicians,/bills/hb19-1242,"Concerning the regulation of pharmacy technicians by the state board of pharmacy, and, in connection therewith, making an appropriation.",Last Action:06/3/2019 | Governor Signed,1,"Rep. D. Jackson, Rep. S. Jaquez Lewis, Sen. F. Winter, Sen. J. Tate",Professions & Occupations,2019 Regular Session,Type:Bill,2019-06-03
1527,HB19-1243,16-year-olds Voting School District Elections,/bills/hb19-1243,Concerning participation in school district elections by individuals at least sixteen years of age.,"Last Action:04/2/2019 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. J. Coleman, Sen. D. Moreno",Elections & Redistricting,2019 Regular Session,Type:Bill,2019-04-02
1528,HB19-1244,Expand Peace Officer Mental Health Support Program,/bills/hb19-1244,"Concerning the peace officers mental health support grant program, and, in connection therewith, allowing certain agencies to apply for grants from the program and expanding the permissible uses of money awarded as grants under the program.",Last Action:05/20/2019 | Governor Signed,1,"Rep. J. Coleman, Rep. T. Carver, Sen. R. Fields, Sen. B. Gardner","Crimes, Corrections, & Enforcement",2019 Regular Session,Type:Bill,2019-05-20
1529,HB19-1245,Affordable Housing Funding From Vendor Fee Changes,/bills/hb19-1245,"Concerning an increase in affordable housing funding from increased state sales tax revenue that results from a modification to the state sales tax vendor fee, and, in connection therewith, enacting the ""Affordable Housing Act of 2019"" and making an appropriation.",Last Action:05/17/2019 | Governor Signed,1,"Rep. M. Weissman, Sen. J. Gonzales, Sen. M. Foote",Fiscal Policy & TaxesHousing,2019 Regular Session,Type:Bill,2019-05-17
1530,HB19-1246,Local Government Regulation Of Food Trucks,/bills/hb19-1246,Concerning the regulation of food truck businesses by local governments.,Last Action:05/20/2019 | Governor Signed,1,"Rep. K. Van Winkle, Rep. T. Kraft-Tharp, Sen. J. Cooke, Sen. D. Moreno",Local Government,2019 Regular Session,Type:Bill,2019-05-20
1531,HB19-1247,Study Agricultural Applications For Blockchain,/bills/hb19-1247,Concerning a study by the commissioner of agriculture on the potential applications for blockchain technology in agricultural operations.,Last Action:05/30/2019 | Governor Signed,1,"Rep. D. Valdez, Rep. M. Catlin, Sen. K. Donovan, Sen. D. Coram",AgricultureBusiness & Economic DevelopmentPublic HealthTelecommunications & Information Technology,2019 Regular Session,Type:Bill,2019-05-30
1532,HB19-1248,Lobbyist Transparency Act,/bills/hb19-1248,"Concerning measures to promote transparency about the activities of persons lobbying state government officials, and, in connection therewith, making an appropriation.",Last Action:05/20/2019 | Governor Signed,1,"Rep. M. Weissman, Rep. L. Cutter, Sen. M. Foote",Elections & RedistrictingState Government,2019 Regular Session,Type:Bill,2019-05-20
1533,HB19-1249,Safety And Accountability In School Contracts,/bills/hb19-1249,Concerning the satisfaction of specified requirements to ensure accountability before a school district may enter into a professional services contract with a third-party contractor.,Last Action:04/11/2019 | House Committee on Education Postpone Indefinitely,0,"Rep. R. Galindo, Rep. E. Sirota, Sen. J. Danielson",Education & School Finance (Pre & K-12),2019 Regular Session,Type:Bill,2019-04-11
1534,HB19-1250,Sexual Assault While In Custody Or Detained,/bills/hb19-1250,"Concerning sex offenses committed by a peace officer, and, in connection therewith, making an appropriation.",Last Action:05/28/2019 | Governor Signed,1,"Rep. L. Herod, Sen. J. Danielson","Crimes, Corrections, & Enforcement",2019 Regular Session,Type:Bill,2019-05-28
1535,HB19-1251,Age Of Marriage And Emancipation Procedure,/bills/hb19-1251,"Concerning only permitting the marriage of minors who are emancipated through a Colorado court emancipation procedure, and, in connection therewith, increasing the age of marriage to eighteen years of age unless the minor is emancipated and creating a statutory emancipation procedure.","Last Action:03/28/2019 | House Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Rep. C. Hansen, Rep. L. Landgraf",Children & Domestic MattersCourts & Judicial,2019 Regular Session,Type:Bill,2019-03-28
1536,HB19-1252,College Credit For Work Experience,/bills/hb19-1252,Concerning a statewide plan for awarding college credit for work-related experience.,Last Action:05/1/2019 | House Committee on Appropriations Postpone Indefinitely,0,"Rep. T. Geitner, Rep. B. McLachlan, Sen. P. Lundeen, Sen. J. Bridges",Higher Education,2019 Regular Session,Type:Bill,2019-05-01
1537,HB19-1253,Living Organ Donor Insurance,/bills/hb19-1253,Concerning a prohibition on discrimination against a living organ donor in certain insurance policies.,Last Action:05/30/2019 | Governor Signed,1,"Rep. L. Landgraf, Rep. J. Buckner, Sen. D. Hisey, Sen. J. Gonzales",Insurance,2019 Regular Session,Type:Bill,2019-05-30
1538,HB19-1254,Notice Requirements Employees Sharing Gratuities,/bills/hb19-1254,Concerning the notice requirements of employers with regard to the sharing of gratuities.,Last Action:05/13/2019 | Governor Signed,1,"Rep. B. McLachlan, Rep. K. Van Winkle, Sen. R. Fields, Sen. K. Priola",Business & Economic DevelopmentLabor & Employment,2019 Regular Session,Type:Bill,2019-05-13
1539,HB19-1255,Mesa Verde National Park License Plate,/bills/hb19-1255,Concerning the creation of a Mesa Verde National Park license plate.,Last Action:05/29/2019 | Governor Signed,1,"Rep. C. Hansen, Rep. M. Catlin, Sen. D. Coram, Sen. R. Zenzinger",Natural Resources & EnvironmentTransportation & Motor Vehicles,2019 Regular Session,Type:Bill,2019-05-29
1540,HB19-1256,Electronic Filing Of Certain Taxes,/bills/hb19-1256,Concerning electronic filing of certain taxes.,Last Action:05/31/2019 | Governor Signed,1,"Rep. M. Gray, Rep. M. Snyder, Sen. N. Todd",Fiscal Policy & Taxes,2019 Regular Session,Type:Bill,2019-05-31
1541,HB19-1257,Voter Approval To Retain Revenue For Ed & Transp,/bills/hb19-1257,"Concerning authority for the state to keep and spend all of the revenue in excess of the constitutional limitation on state fiscal year spending beginning with the 2019-20 fiscal year in order to provide funding for public schools, higher education, and roads, bridges, and transit.",Last Action:05/14/2019 | Signed by the President of the Senate,0,"Rep. K. Becker, Rep. J. McCluskie, Sen. L. Court, Sen. K. Priola",Fiscal Policy & Taxes,2019 Regular Session,Type:Bill,2019-05-14
1542,HB19-1258,Allocate Voter-approved Revenue For Education & Transportation,/bills/hb19-1258,Concerning the allocation of money that the state keeps and spends as a result of a voter-approved revenue change at the 2019 statewide election.,Last Action:06/3/2019 | Governor Signed,1,"Rep. K. Becker, Rep. J. McCluskie, Sen. L. Court, Sen. K. Priola",Fiscal Policy & Taxes,2019 Regular Session,Type:Bill,2019-06-03
1543,HB19-1259,Species Conservation Trust Fund Projects,/bills/hb19-1259,"Concerning support for species conservation trust fund projects, and, in connection therewith, making transfers to and appropriations from the species conservation trust fund for purposes recommended by the department of natural resources.",Last Action:05/17/2019 | Governor Signed,1,"Rep. D. Roberts, Rep. R. Pelton, Sen. K. Donovan",Natural Resources & Environment,2019 Regular Session,Type:Bill,2019-05-17
1544,HB19-1260,Building Energy Codes,/bills/hb19-1260,Concerning an update to the minimum energy code for the construction of buildings.,Last Action:05/30/2019 | Governor Signed,1,"Rep. C. Kipp, Rep. A. Valdez, Sen. F. Winter, Sen. K. Priola",Local Government,2019 Regular Session,Type:Bill,2019-05-30
1545,HB19-1261,Climate Action Plan To Reduce Pollution,/bills/hb19-1261,"Concerning the reduction of greenhouse gas pollution, and, in connection therewith, establishing statewide greenhouse gas pollution reduction goals and making an appropriation.",Last Action:05/30/2019 | Governor Signed,1,"Rep. K. Becker, Rep. D. Jackson, Sen. F. Winter, Sen. A. Williams",Natural Resources & Environment,2019 Regular Session,Type:Bill,2019-05-30
1546,HB19-1262,State Funding For Full-day Kindergarten,/bills/hb19-1262,"Concerning state funding for full-day kindergarten educational programs, and, in connection therewith, making and reducing an appropriation.",Last Action:05/21/2019 | Governor Signed,1,"Rep. J. Wilson, Rep. B. McLachlan, Sen. J. Bridges, Sen. R. Fields",Education & School Finance (Pre & K-12),2019 Regular Session,Type:Bill,2019-05-21
